Gamma,Cost,Accuracy,Error
0.01,1,0.7112,0.28879999999999995
0.01,2,0.724,0.276
0.01,3,0.73,0.27
0.01,4,0.7324,0.26759999999999995
0.01,5,0.7372,0.26280000000000003
0.01,6,0.7416,0.25839999999999996
0.01,7,0.742,0.258
0.01,8,0.7456,0.25439999999999996
0.01,9,0.7472,0.2528
0.01,10,0.75,0.25
0.01,11,0.7516,0.24839999999999995
0.01,12,0.7524,0.24760000000000004
0.01,13,0.7536,0.24639999999999995
0.01,14,0.754,0.246
0.01,15,0.7552,0.24480000000000002
0.01,16,0.7572,0.24280000000000002
0.01,17,0.7564,0.24360000000000004
0.01,18,0.7564,0.24360000000000004
0.01,19,0.758,0.242
0.01,20,0.758,0.242
0.01,21,0.7576,0.24239999999999995
0.01,22,0.758,0.242
0.01,23,0.7572,0.24280000000000002
0.01,24,0.7588,0.24119999999999997
0.01,25,0.7596,0.24039999999999995
0.01,26,0.7592,0.24080000000000001
0.01,27,0.758,0.242
0.01,28,0.7596,0.24039999999999995
0.01,29,0.7588,0.24119999999999997
0.01,30,0.7596,0.24039999999999995
0.01,31,0.7588,0.24119999999999997
0.01,32,0.7604,0.23960000000000004
0.01,33,0.7604,0.23960000000000004
0.01,34,0.762,0.238
0.01,35,0.7624,0.23760000000000003
0.01,36,0.7616,0.23839999999999995
0.01,37,0.7628,0.23719999999999997
0.01,38,0.7636,0.23640000000000005
0.01,39,0.7636,0.23640000000000005
0.01,40,0.7632,0.2368
0.01,41,0.762,0.238
0.01,42,0.762,0.238
0.01,43,0.7628,0.23719999999999997
0.01,44,0.7628,0.23719999999999997
0.01,45,0.7632,0.2368
0.01,46,0.7632,0.2368
0.01,47,0.7632,0.2368
0.01,48,0.764,0.236
0.01,49,0.7636,0.23640000000000005
0.01,50,0.764,0.236
0.01,51,0.7648,0.23519999999999996
0.01,52,0.7652,0.2348
0.01,53,0.7648,0.23519999999999996
0.01,54,0.7652,0.2348
0.01,55,0.7652,0.2348
0.01,56,0.7656,0.23440000000000005
0.01,57,0.7656,0.23440000000000005
0.01,58,0.766,0.23399999999999999
0.01,59,0.7652,0.2348
0.01,60,0.7648,0.23519999999999996
0.01,61,0.7656,0.23440000000000005
0.01,62,0.7676,0.23240000000000005
0.01,63,0.7672,0.2328
0.01,64,0.7676,0.23240000000000005
0.01,65,0.766,0.23399999999999999
0.01,66,0.7664,0.23360000000000003
0.01,67,0.7664,0.23360000000000003
0.01,68,0.7664,0.23360000000000003
0.01,69,0.7672,0.2328
0.01,70,0.7664,0.23360000000000003
0.01,71,0.7672,0.2328
0.01,72,0.7668,0.23319999999999996
0.01,73,0.7668,0.23319999999999996
0.01,74,0.7668,0.23319999999999996
0.01,75,0.7672,0.2328
0.01,76,0.7668,0.23319999999999996
0.01,77,0.7664,0.23360000000000003
0.01,78,0.766,0.23399999999999999
0.01,79,0.766,0.23399999999999999
0.01,80,0.766,0.23399999999999999
0.01,81,0.7656,0.23440000000000005
0.01,82,0.7648,0.23519999999999996
0.01,83,0.7644,0.23560000000000003
0.01,84,0.764,0.236
0.01,85,0.7648,0.23519999999999996
0.01,86,0.7652,0.2348
0.01,87,0.764,0.236
0.01,88,0.764,0.236
0.01,89,0.7644,0.23560000000000003
0.01,90,0.7652,0.2348
0.01,91,0.7648,0.23519999999999996
0.01,92,0.7652,0.2348
0.01,93,0.7652,0.2348
0.01,94,0.7652,0.2348
0.01,95,0.7648,0.23519999999999996
0.01,96,0.7648,0.23519999999999996
0.01,97,0.764,0.236
0.01,98,0.7644,0.23560000000000003
0.01,99,0.7648,0.23519999999999996
0.01,100,0.7644,0.23560000000000003
0.05,1,0.7392,0.26080000000000003
0.05,2,0.7496,0.25039999999999996
0.05,3,0.7564,0.24360000000000004
0.05,4,0.7564,0.24360000000000004
0.05,5,0.7604,0.23960000000000004
0.05,6,0.762,0.238
0.05,7,0.7652,0.2348
0.05,8,0.7664,0.23360000000000003
0.05,9,0.7648,0.23519999999999996
0.05,10,0.764,0.236
0.05,11,0.7636,0.23640000000000005
0.05,12,0.7628,0.23719999999999997
0.05,13,0.7644,0.23560000000000003
0.05,14,0.7644,0.23560000000000003
0.05,15,0.764,0.236
0.05,16,0.7628,0.23719999999999997
0.05,17,0.7632,0.2368
0.05,18,0.7644,0.23560000000000003
0.05,19,0.7668,0.23319999999999996
0.05,20,0.7664,0.23360000000000003
0.05,21,0.768,0.23199999999999998
0.05,22,0.7668,0.23319999999999996
0.05,23,0.7676,0.23240000000000005
0.05,24,0.766,0.23399999999999999
0.05,25,0.7668,0.23319999999999996
0.05,26,0.7656,0.23440000000000005
0.05,27,0.7652,0.2348
0.05,28,0.7664,0.23360000000000003
0.05,29,0.7656,0.23440000000000005
0.05,30,0.7652,0.2348
0.05,31,0.766,0.23399999999999999
0.05,32,0.7652,0.2348
0.05,33,0.7652,0.2348
0.05,34,0.766,0.23399999999999999
0.05,35,0.7656,0.23440000000000005
0.05,36,0.7656,0.23440000000000005
0.05,37,0.7656,0.23440000000000005
0.05,38,0.7652,0.2348
0.05,39,0.7664,0.23360000000000003
0.05,40,0.7656,0.23440000000000005
0.05,41,0.7664,0.23360000000000003
0.05,42,0.7676,0.23240000000000005
0.05,43,0.7676,0.23240000000000005
0.05,44,0.768,0.23199999999999998
0.05,45,0.7668,0.23319999999999996
0.05,46,0.766,0.23399999999999999
0.05,47,0.7664,0.23360000000000003
0.05,48,0.7664,0.23360000000000003
0.05,49,0.7668,0.23319999999999996
0.05,50,0.7656,0.23440000000000005
0.05,51,0.7664,0.23360000000000003
0.05,52,0.7668,0.23319999999999996
0.05,53,0.7676,0.23240000000000005
0.05,54,0.7672,0.2328
0.05,55,0.7676,0.23240000000000005
0.05,56,0.768,0.23199999999999998
0.05,57,0.7684,0.23160000000000003
0.05,58,0.7684,0.23160000000000003
0.05,59,0.7684,0.23160000000000003
0.05,60,0.7688,0.23119999999999996
0.05,61,0.7696,0.23040000000000005
0.05,62,0.7696,0.23040000000000005
0.05,63,0.7696,0.23040000000000005
0.05,64,0.7676,0.23240000000000005
0.05,65,0.7668,0.23319999999999996
0.05,66,0.7664,0.23360000000000003
0.05,67,0.766,0.23399999999999999
0.05,68,0.7652,0.2348
0.05,69,0.7648,0.23519999999999996
0.05,70,0.7656,0.23440000000000005
0.05,71,0.7656,0.23440000000000005
0.05,72,0.7656,0.23440000000000005
0.05,73,0.766,0.23399999999999999
0.05,74,0.7656,0.23440000000000005
0.05,75,0.7664,0.23360000000000003
0.05,76,0.7676,0.23240000000000005
0.05,77,0.7688,0.23119999999999996
0.05,78,0.7688,0.23119999999999996
0.05,79,0.7696,0.23040000000000005
0.05,80,0.7696,0.23040000000000005
0.05,81,0.7688,0.23119999999999996
0.05,82,0.768,0.23199999999999998
0.05,83,0.768,0.23199999999999998
0.05,84,0.7676,0.23240000000000005
0.05,85,0.7676,0.23240000000000005
0.05,86,0.7672,0.2328
0.05,87,0.7676,0.23240000000000005
0.05,88,0.7676,0.23240000000000005
0.05,89,0.7676,0.23240000000000005
0.05,90,0.768,0.23199999999999998
0.05,91,0.7676,0.23240000000000005
0.05,92,0.7672,0.2328
0.05,93,0.7668,0.23319999999999996
0.05,94,0.7664,0.23360000000000003
0.05,95,0.7668,0.23319999999999996
0.05,96,0.7676,0.23240000000000005
0.05,97,0.7676,0.23240000000000005
0.05,98,0.7672,0.2328
0.05,99,0.7672,0.2328
0.05,100,0.7668,0.23319999999999996
0.1,1,0.748,0.252
0.1,2,0.7608,0.23919999999999997
0.1,3,0.766,0.23399999999999999
0.1,4,0.766,0.23399999999999999
0.1,5,0.7644,0.23560000000000003
0.1,6,0.764,0.236
0.1,7,0.7672,0.2328
0.1,8,0.7664,0.23360000000000003
0.1,9,0.7676,0.23240000000000005
0.1,10,0.7652,0.2348
0.1,11,0.7648,0.23519999999999996
0.1,12,0.7648,0.23519999999999996
0.1,13,0.7656,0.23440000000000005
0.1,14,0.7668,0.23319999999999996
0.1,15,0.7676,0.23240000000000005
0.1,16,0.7632,0.2368
0.1,17,0.7636,0.23640000000000005
0.1,18,0.7624,0.23760000000000003
0.1,19,0.7632,0.2368
0.1,20,0.762,0.238
0.1,21,0.7632,0.2368
0.1,22,0.7624,0.23760000000000003
0.1,23,0.7616,0.23839999999999995
0.1,24,0.7612,0.2388
0.1,25,0.76,0.24
0.1,26,0.7612,0.2388
0.1,27,0.7612,0.2388
0.1,28,0.7604,0.23960000000000004
0.1,29,0.7596,0.24039999999999995
0.1,30,0.76,0.24
0.1,31,0.7584,0.24160000000000004
0.1,32,0.7572,0.24280000000000002
0.1,33,0.7564,0.24360000000000004
0.1,34,0.7564,0.24360000000000004
0.1,35,0.7556,0.24439999999999995
0.1,36,0.7556,0.24439999999999995
0.1,37,0.7552,0.24480000000000002
0.1,38,0.7556,0.24439999999999995
0.1,39,0.7564,0.24360000000000004
0.1,40,0.7556,0.24439999999999995
0.1,41,0.758,0.242
0.1,42,0.7584,0.24160000000000004
0.1,43,0.758,0.242
0.1,44,0.758,0.242
0.1,45,0.7568,0.24319999999999997
0.1,46,0.7572,0.24280000000000002
0.1,47,0.7588,0.24119999999999997
0.1,48,0.7592,0.24080000000000001
0.1,49,0.76,0.24
0.1,50,0.7584,0.24160000000000004
0.1,51,0.758,0.242
0.1,52,0.7568,0.24319999999999997
0.1,53,0.7556,0.24439999999999995
0.1,54,0.7548,0.24519999999999997
0.1,55,0.7544,0.24560000000000004
0.1,56,0.7536,0.24639999999999995
0.1,57,0.754,0.246
0.1,58,0.7536,0.24639999999999995
0.1,59,0.7532,0.24680000000000002
0.1,60,0.7524,0.24760000000000004
0.1,61,0.7524,0.24760000000000004
0.1,62,0.752,0.248
0.1,63,0.7524,0.24760000000000004
0.1,64,0.7528,0.24719999999999998
0.1,65,0.7524,0.24760000000000004
0.1,66,0.7524,0.24760000000000004
0.1,67,0.7524,0.24760000000000004
0.1,68,0.7528,0.24719999999999998
0.1,69,0.7528,0.24719999999999998
0.1,70,0.7528,0.24719999999999998
0.1,71,0.7524,0.24760000000000004
0.1,72,0.7524,0.24760000000000004
0.1,73,0.7528,0.24719999999999998
0.1,74,0.7528,0.24719999999999998
0.1,75,0.7528,0.24719999999999998
0.1,76,0.7516,0.24839999999999995
0.1,77,0.7512,0.24880000000000002
0.1,78,0.75,0.25
0.1,79,0.75,0.25
0.1,80,0.7496,0.25039999999999996
0.1,81,0.7508,0.24919999999999998
0.1,82,0.7504,0.24960000000000004
0.1,83,0.7496,0.25039999999999996
0.1,84,0.7496,0.25039999999999996
0.1,85,0.75,0.25
0.1,86,0.7496,0.25039999999999996
0.1,87,0.7496,0.25039999999999996
0.1,88,0.75,0.25
0.1,89,0.7504,0.24960000000000004
0.1,90,0.75,0.25
0.1,91,0.7496,0.25039999999999996
0.1,92,0.75,0.25
0.1,93,0.7492,0.2508
0.1,94,0.7492,0.2508
0.1,95,0.7496,0.25039999999999996
0.1,96,0.7496,0.25039999999999996
0.1,97,0.7488,0.2512
0.1,98,0.75,0.25
0.1,99,0.752,0.248
0.1,100,0.7524,0.24760000000000004
0.25,1,0.756,0.244
0.25,2,0.7648,0.23519999999999996
0.25,3,0.766,0.23399999999999999
0.25,4,0.7648,0.23519999999999996
0.25,5,0.762,0.238
0.25,6,0.7624,0.23760000000000003
0.25,7,0.762,0.238
0.25,8,0.7576,0.24239999999999995
0.25,9,0.7588,0.24119999999999997
0.25,10,0.758,0.242
0.25,11,0.7576,0.24239999999999995
0.25,12,0.7572,0.24280000000000002
0.25,13,0.756,0.244
0.25,14,0.756,0.244
0.25,15,0.7572,0.24280000000000002
0.25,16,0.7548,0.24519999999999997
0.25,17,0.7532,0.24680000000000002
0.25,18,0.7524,0.24760000000000004
0.25,19,0.752,0.248
0.25,20,0.7524,0.24760000000000004
0.25,21,0.752,0.248
0.25,22,0.752,0.248
0.25,23,0.7516,0.24839999999999995
0.25,24,0.7492,0.2508
0.25,25,0.7504,0.24960000000000004
0.25,26,0.7492,0.2508
0.25,27,0.7496,0.25039999999999996
0.25,28,0.75,0.25
0.25,29,0.7504,0.24960000000000004
0.25,30,0.7492,0.2508
0.25,31,0.7492,0.2508
0.25,32,0.7496,0.25039999999999996
0.25,33,0.75,0.25
0.25,34,0.75,0.25
0.25,35,0.75,0.25
0.25,36,0.7488,0.2512
0.25,37,0.7496,0.25039999999999996
0.25,38,0.7508,0.24919999999999998
0.25,39,0.7516,0.24839999999999995
0.25,40,0.7508,0.24919999999999998
0.25,41,0.7496,0.25039999999999996
0.25,42,0.7492,0.2508
0.25,43,0.7484,0.25160000000000005
0.25,44,0.75,0.25
0.25,45,0.7504,0.24960000000000004
0.25,46,0.7488,0.2512
0.25,47,0.7488,0.2512
0.25,48,0.7488,0.2512
0.25,49,0.748,0.252
0.25,50,0.7476,0.25239999999999996
0.25,51,0.7476,0.25239999999999996
0.25,52,0.7464,0.25360000000000005
0.25,53,0.7464,0.25360000000000005
0.25,54,0.7464,0.25360000000000005
0.25,55,0.746,0.254
0.25,56,0.7464,0.25360000000000005
0.25,57,0.7448,0.2552
0.25,58,0.7444,0.25560000000000005
0.25,59,0.7444,0.25560000000000005
0.25,60,0.7448,0.2552
0.25,61,0.7444,0.25560000000000005
0.25,62,0.7432,0.25680000000000003
0.25,63,0.7432,0.25680000000000003
0.25,64,0.7432,0.25680000000000003
0.25,65,0.744,0.256
0.25,66,0.7436,0.25639999999999996
0.25,67,0.7436,0.25639999999999996
0.25,68,0.7436,0.25639999999999996
0.25,69,0.7428,0.2572
0.25,70,0.7432,0.25680000000000003
0.25,71,0.7428,0.2572
0.25,72,0.7432,0.25680000000000003
0.25,73,0.7436,0.25639999999999996
0.25,74,0.7436,0.25639999999999996
0.25,75,0.7436,0.25639999999999996
0.25,76,0.7436,0.25639999999999996
0.25,77,0.7436,0.25639999999999996
0.25,78,0.7436,0.25639999999999996
0.25,79,0.7436,0.25639999999999996
0.25,80,0.7436,0.25639999999999996
0.25,81,0.7436,0.25639999999999996
0.25,82,0.744,0.256
0.25,83,0.7444,0.25560000000000005
0.25,84,0.7448,0.2552
0.25,85,0.7452,0.2548
0.25,86,0.7452,0.2548
0.25,87,0.7452,0.2548
0.25,88,0.7452,0.2548
0.25,89,0.7448,0.2552
0.25,90,0.7448,0.2552
0.25,91,0.7448,0.2552
0.25,92,0.7444,0.25560000000000005
0.25,93,0.744,0.256
0.25,94,0.7436,0.25639999999999996
0.25,95,0.744,0.256
0.25,96,0.7436,0.25639999999999996
0.25,97,0.744,0.256
0.25,98,0.744,0.256
0.25,99,0.7436,0.25639999999999996
0.25,100,0.7432,0.25680000000000003
0.5,1,0.7464,0.25360000000000005
0.5,2,0.7588,0.24119999999999997
0.5,3,0.76,0.24
0.5,4,0.7592,0.24080000000000001
0.5,5,0.7596,0.24039999999999995
0.5,6,0.758,0.242
0.5,7,0.7528,0.24719999999999998
0.5,8,0.7536,0.24639999999999995
0.5,9,0.7524,0.24760000000000004
0.5,10,0.7504,0.24960000000000004
0.5,11,0.748,0.252
0.5,12,0.7488,0.2512
0.5,13,0.7488,0.2512
0.5,14,0.7476,0.25239999999999996
0.5,15,0.7472,0.2528
0.5,16,0.7472,0.2528
0.5,17,0.7476,0.25239999999999996
0.5,18,0.7464,0.25360000000000005
0.5,19,0.7468,0.2532
0.5,20,0.7472,0.2528
0.5,21,0.748,0.252
0.5,22,0.7476,0.25239999999999996
0.5,23,0.7468,0.2532
0.5,24,0.746,0.254
0.5,25,0.746,0.254
0.5,26,0.746,0.254
0.5,27,0.7468,0.2532
0.5,28,0.7464,0.25360000000000005
0.5,29,0.7452,0.2548
0.5,30,0.7448,0.2552
0.5,31,0.7444,0.25560000000000005
0.5,32,0.7444,0.25560000000000005
0.5,33,0.7444,0.25560000000000005
0.5,34,0.7432,0.25680000000000003
0.5,35,0.7424,0.25760000000000005
0.5,36,0.7428,0.2572
0.5,37,0.7428,0.2572
0.5,38,0.742,0.258
0.5,39,0.7416,0.25839999999999996
0.5,40,0.7424,0.25760000000000005
0.5,41,0.7416,0.25839999999999996
0.5,42,0.7424,0.25760000000000005
0.5,43,0.7424,0.25760000000000005
0.5,44,0.7416,0.25839999999999996
0.5,45,0.7416,0.25839999999999996
0.5,46,0.7416,0.25839999999999996
0.5,47,0.7416,0.25839999999999996
0.5,48,0.7412,0.25880000000000003
0.5,49,0.7412,0.25880000000000003
0.5,50,0.7416,0.25839999999999996
0.5,51,0.7416,0.25839999999999996
0.5,52,0.7424,0.25760000000000005
0.5,53,0.742,0.258
0.5,54,0.742,0.258
0.5,55,0.7416,0.25839999999999996
0.5,56,0.7404,0.25960000000000005
0.5,57,0.7404,0.25960000000000005
0.5,58,0.74,0.26
0.5,59,0.7396,0.26039999999999996
0.5,60,0.7396,0.26039999999999996
0.5,61,0.7392,0.26080000000000003
0.5,62,0.7388,0.2612
0.5,63,0.7388,0.2612
0.5,64,0.7392,0.26080000000000003
0.5,65,0.7388,0.2612
0.5,66,0.7388,0.2612
0.5,67,0.7384,0.26160000000000005
0.5,68,0.7388,0.2612
0.5,69,0.7376,0.26239999999999997
0.5,70,0.7376,0.26239999999999997
0.5,71,0.738,0.262
0.5,72,0.738,0.262
0.5,73,0.738,0.262
0.5,74,0.738,0.262
0.5,75,0.7384,0.26160000000000005
0.5,76,0.7384,0.26160000000000005
0.5,77,0.738,0.262
0.5,78,0.7376,0.26239999999999997
0.5,79,0.7376,0.26239999999999997
0.5,80,0.7376,0.26239999999999997
0.5,81,0.7376,0.26239999999999997
0.5,82,0.7376,0.26239999999999997
0.5,83,0.7368,0.2632
0.5,84,0.7364,0.26359999999999995
0.5,85,0.7364,0.26359999999999995
0.5,86,0.7364,0.26359999999999995
0.5,87,0.7364,0.26359999999999995
0.5,88,0.7364,0.26359999999999995
0.5,89,0.736,0.264
0.5,90,0.736,0.264
0.5,91,0.736,0.264
0.5,92,0.736,0.264
0.5,93,0.7364,0.26359999999999995
0.5,94,0.736,0.264
0.5,95,0.736,0.264
0.5,96,0.736,0.264
0.5,97,0.736,0.264
0.5,98,0.736,0.264
0.5,99,0.736,0.264
0.5,100,0.7364,0.26359999999999995
